epic,session,is_index,rec_reason,rec_pnl,new_pnl,rec_R,new_R,changed,new_reason,win_to_loss,loser_saved,was_hardstop
DE40,London,True,Z-score midline,54.5,54.5,0.787357735804209,0.787357735804209,False,Z-score midline,False,False,False
DE40,Overlap,True,Time exit: -60.0 min remaining <= 30 min threshold,-166.6,-130.8,-2.097560914209253,-1.6468245352855362,True,stopcap,False,True,False
DE40,Asia,True,Z-score midline,13.5,13.5,0.3390597722834479,0.3390597722834479,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,18.0,18.0,0.6139074193857987,0.6139074193857987,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-4.0,-51.5,-0.11402712437185424,-1.4680992262876233,True,stopcap,False,False,False
DE40,Overlap,True,Z-score midline,31.3,31.3,0.5012484293280411,0.5012484293280411,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,11.0,11.0,0.2608499168490444,0.2608499168490444,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,20.0,20.0,0.7233189255004231,0.7233189255004231,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-133.0,-45.5,-3.2913559514516613,-1.1259901939176735,True,stopcap,False,True,False
DE40,Asia,True,Z-score midline,-3.0,-61.5,-0.05284690206181217,-1.0833614922671495,True,stopcap,False,False,False
DE40,London,True,Z-score midline,-30.3,-60.0,-0.5320131155802416,-1.0534913179806762,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,6.5,6.5,0.23725129850355323,0.23725129850355323,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,10.0,10.0,0.38288071044823047,0.38288071044823047,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,15.5,15.5,0.441910638964624,0.441910638964624,False,Z-score midline,False,False,False
DE40,London,True,Hard stop: bid 22427.8 <= stop 22452.878,-367.0,-69.5,-5.716686760052813,-1.0825878196830259,True,stopcap,False,True,True
DE40,Asia,True,Z-score midline,6.5,6.5,0.12048272242835187,0.12048272242835187,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,23.0,23.0,0.3014080010642618,0.3014080010642618,False,Z-score midline,False,False,False
